SEARCH,MAPTO
# List order matters:
# Mappings processed in order of list so more specific versions of generic weather should come first in list e.g. HAIL before MARINE HAIL
# Roughly grouped by type of weather event

#Thundertorms and Marine variations.  Any variation on thunderstorm will just be a thunderstorm
NON.*T.*S.*T.*M WIND,HIGH WIND
MARINE T.*S.*T.*M,MARINE THUNDERSTORM
TSTM,THUNDERSTORM
T.*U.*STORM,THUNDERSTORM
THUNDER,THUNDERSTORM
MARINE HAIL,MARINE HAIL
HAIL,HAIL
MARINE HIGH WIND,MARINE HIGH WIND
HIGH WIND,HIGH WIND
MARINE STRONG WIND,MARINE STRONG WIND
STRONG WIND,STRONG WIND

# Water - Floods, Tides and Surf
COASTAL.*FLOOD,COASTAL FLOOD/EROSION
COASTAL EROSION,COASTAL FLOOD/EROSION
BEACH EROSION,COASTAL FLOOD/EROSION
EROSION/CSTL FLOOD,COASTAL FLOOD/EROSION
FLASH FLOOD,FLASH FLOOD
LAKESHORE FLOOD,LAKESHORE FLOOD
FLOOD,FLOOD
URBAN.*SM.*L.*,FLOOD
HIGH WATER,FLOOD
ASTRONOMICAL,ASTRONOMICAL LOW/HIGH TIDE
FUNNEL CLOUD,FUNNEL CLOUD
SURF,HIGH SURF
RIP CURRENT,RIP CURRENT
SEICHE,SEICHE
STORM SURGE,STORM SURGE/TIDE
COASTAL.*STORM,STORM SURGE/TIDE
TSUNAMI,TSUNAMI
WATERSPOUT,WATERSPOUT

#Heat
EXCESSIVE HEAT,EXCESSIVE HEAT
HEAT,HEAT
DROUGHT,DROUGHT
DUST DEVIL,DUST DEVIL
DUST STORM,DUST STORM
DUST,DUST STORM
WARM,HEAT


#Other Storms
LIGHTNING,LIGHTNING
HEAVY RAIN,HEAVY RAIN
HURRICANE,HURRICANE/TYPHOON
TYPHOON,HURRICANE/TYPHOON
TORNADO,TORNADO
BURST,STRONG WIND
LANDSPOUT,STRONG WIND
TROPICAL DEPRESSION,TROPICAL DEPRESSION
TROPICAL STORM,TROPICAL STORM
PRECIP,HEAVY RAIN
RAIN,HEAVY RAIN

#Fires and smoke
WILDFIRE,WILDFIRE
DENSE SMOKE,DENSE SMOKE
FIRE,WILDFIRE

# Cold weather
AVALANCHE,AVALANCHE
BLIZZARD,BLIZZARD
DENSE FOG,DENSE FOG
FREEZING FOG,FREEZING FOG,
FOG,DENSE FOG
FROST/FREEZE,FROST/FREEZE
FROST,FROST/FREEZE
FREEZ,FROST/FREEZE
HEAVY SNOW,HEAVY SNOW
ICE STORM,ICE STORM
LAKE.*EFFECT SNOW,LAKE-EFFECT SNOW
SLEET,SLEET
WINTER WEATHER,WINTER WEATHER
WINTER STORM,WINTER STORM
WINTRY,WINTER WEATHER
ICE,WINTER WEATHER
ICY,WINTER WEATHER
SNOW,WINTER WEATHER
EXTREME COLD,EXTREME COLD/WIND CHILL
EXTREME WIND.*CHILL,EXTREME COLD/WIND CHILL
COLD,COLD/WIND CHILL
EXPOSURE,COLD/WIND CHILL

#Final catch for remaining types of WIND
WIND,HIGH WIND

# Other disasters
DEBRIS FLOW,DEBRIS FLOW/LANDSLIDE
LANDSL.*,DEBRIS FLOW/LANDSLIDE
MUD.*SL,DEBRIS FLOW/LANDSLIDE
ROCK SLIDE,DEBRIS FLOW/LANDSLIDE
DAM BREAK,DEBRIS FLOW/LANDSLIDE
VOLCANIC ASH,VOLCANIC ASH

#Other
SWELLS,OTHER
WAVE,OTHER
MARINE,OTHER
SEAS,OTHER
DROWNING,OTHER
OTHER,OTHER
GLAZE,OTHER
